City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,74,0,6.91,clear sky
79,Ancud,CL,-41.8697,-73.8203,51.22,86,83,6.24,broken clouds
80,Souris,CA,49.6172,-100.2612,33.66,87,55,3.56,broken clouds
81,Fethiye,TR,36.6217,29.1164,57.07,88,7,2.06,clear sky
82,Upernavik,GL,72.7868,-56.1549,10.08,95,100,5.57,light snow
83,Hasaki,JP,35.7333,140.8333,57.6,61,100,13.04,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,41.81,91,85,3.38,overcast clouds
85,Harper,LR,4.375,-7.7169,77.34,89,98,4.5,overcast clouds
86,Saravena,CO,6.9538,-71.8752,77.65,76,96,2.73,moderate rain
87,Port-Cartier,CA,50.0334,-66.8654,34.75,83,8,5.06,clear sky
88,Isangel,VU,-19.55,169.2667,82.27,76,100,1.05,overcast clouds
89,Mont-De-Marsan,FR,44.0,-0.6667,50.61,93,100,5.75,overcast clouds
90,Listvyanka,RU,51.8535,104.8693,37.76,87,73,1.86,broken clouds
91,Jasper,US,37.2001,-94.3502,59.68,27,0,10.36,clear sky
92,Saskylakh,RU,71.9167,114.0833,12.16,94,100,12.71,light snow
93,Redlands,US,34.0556,-117.1825,87.55,24,40,4.61,scattered clouds
94,Mugur-Aksy,RU,50.35,90.5,36.84,33,100,5.57,overcast clouds
95,Shakhtinsk,KZ,49.71,72.5872,46.18,80,99,15.41,overcast clouds
96,Kibi,GH,6.1649,-0.5538,71.51,90,100,1.61,overcast clouds
97,Pevek,RU,69.7008,170.3133,15.71,88,62,4.94,broken clouds
98,Hermanus,ZA,-34.4187,19.2345,61.81,90,8,11.54,clear sky
99,Grindavik,IS,63.8424,-22.4338,43.27,75,75,11.5,broken clouds
100,Maposeni,TZ,-10.5833,35.4,62.71,96,21,1.5,few clouds
101,Barrow,US,71.2906,-156.7887,6.82,78,0,4.61,clear sky
102,Nuuk,GL,64.1835,-51.7216,16.41,73,100,21.85,light snow
103,Chokurdakh,RU,70.6333,147.9167,9.93,92,53,4.18,broken clouds
104,Tuatapere,NZ,-46.1333,167.6833,59.94,74,100,2.84,overcast clouds
105,Lang Son,VN,21.8333,106.7333,61.65,85,96,3.6,overcast clouds
106,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,3.44,overcast clouds
107,Souillac,MU,-20.5167,57.5167,77.4,88,15,10.65,few clouds
108,Kandy,LK,7.2955,80.6356,69.69,94,73,2.71,broken clouds
109,Hilo,US,19.7297,-155.09,80.28,77,75,11.5,broken clouds
110,Victoria,HK,22.2855,114.1577,70.25,85,100,5.99,overcast clouds
111,Pangkalanbuun,ID,-2.6833,111.6167,74.17,99,99,2.35,overcast clouds
112,Kropotkin,RU,45.4375,40.5756,60.75,76,100,9.35,overcast clouds
113,Beringovskiy,RU,63.05,179.3167,31.14,99,100,6.62,snow
114,Kifri,IQ,34.6959,44.9661,71.92,21,2,6.91,clear sky
115,Kloulklubed,PW,7.0419,134.2556,79.3,76,81,9.24,broken clouds
116,Ottersberg,DE,53.1,9.15,48.09,86,89,6.91,overcast clouds
117,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.6,82,99,3.58,overcast clouds
118,Georgetown,MY,5.4112,100.3354,78.73,89,20,2.3,few clouds
119,Asau,RO,46.4333,26.4,33.96,87,92,2.84,overcast clouds
120,Chifeng,CN,42.2683,118.9636,54.21,27,6,11.14,clear sky
121,Port Elizabeth,ZA,-33.918,25.5701,56.32,96,20,1.01,few clouds
122,Dubbo,AU,-32.25,148.6167,69.93,64,86,9.22,overcast clouds
123,Constitucion,CL,-35.3333,-72.4167,55.85,91,81,9.8,broken clouds
124,Manta,EC,-0.95,-80.7333,80.38,74,75,12.66,broken clouds
125,Lata,PT,40.1629,-8.3327,54.07,85,56,6.78,broken clouds
126,Srednekolymsk,RU,67.45,153.6833,23.85,87,67,5.35,broken clouds
127,Ada,US,43.4166,-116.1262,72.28,20,0,16.11,clear sky
128,Biak,ID,-0.9131,122.8766,78.62,79,60,0.2,broken clouds
129,Sioux Lookout,CA,50.1001,-91.917,32.09,88,100,7.65,light snow
130,Torit,SS,4.4133,32.5678,73.54,67,84,3.11,broken clouds
131,Champerico,GT,14.3,-91.9167,88.34,68,12,12.86,few clouds
132,Udachnyy,RU,66.4167,112.4,8.46,77,100,23.33,overcast clouds
133,Kamenka,RU,51.3223,42.7678,51.69,73,84,10.58,broken clouds
