City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
545,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
548,Tabou,CI,77.07,overcast clouds,4.423,-7.3528,hotêl doufoulougou
551,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
557,Kudahuvadhoo,MV,83.01,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
558,Moerai,PF,78.71,overcast clouds,-22.4333,-151.3333,Le Manotel
559,Miraflores,MX,81.03,light rain,19.2167,-98.8083,Hotel Mansión
566,Tagusao,PH,81.68,overcast clouds,9.1924,117.8141,Green Villa beach resort
568,Tual,ID,83.7,broken clouds,-5.6667,132.75,Grand Vilia Hotel
569,Nohar,IN,85.15,clear sky,29.1833,74.7667,Hotel Eva Inn
570,Pyay,MM,81.9,clear sky,18.8167,95.2167,Shwe Pyi Thar
572,Callaway,US,76.91,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
574,Hambantota,LK,79.2,broken clouds,6.1241,81.1185,Bungalow 63
576,Kalmunai,LK,79.77,overcast clouds,7.4167,81.8167,VS Villa
579,Poum,NC,78.6,clear sky,-20.2333,164.0167,
582,Suba,PH,82.62,broken clouds,10.8438,121.0102,Jarnchi Pension House
587,Mareeba,AU,77.67,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
590,Camocim,BR,76.73,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
591,Kandiari,PK,85.28,clear sky,26.9156,68.5216,Birohi Tailors
595,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
599,Thinadhoo,MV,83.07,overcast clouds,0.5333,72.9333,
601,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
602,Basco,PH,77.59,broken clouds,20.4487,121.9702,Nathaniel's Lodge
604,Waingapu,ID,79.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
606,Umm Kaddadah,SD,83.61,scattered clouds,13.6017,26.6876,
607,Sulangan,PH,81.23,clear sky,11.1373,123.7228,Maia's Beach Resort
610,Barabai,ID,79.16,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
613,Alappuzha,IN,82.02,overcast clouds,9.49,76.3264,Panoramic Sea Resort
617,Riverton,US,77.56,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
618,Male,MV,84.15,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
621,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
631,Katobu,ID,79.7,overcast clouds,-4.9408,122.5276,La Ode Husein
635,Tarakan,ID,79.97,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
640,Witu,KE,80.17,overcast clouds,-2.3889,40.4382,
641,Brownsville,US,82.35,haze,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
642,Phan Thiet,VN,79.93,few clouds,10.9333,108.1,Hotel Saigon-PT
643,Cicuco,CO,80.01,overcast clouds,9.2631,-74.6569,Hotel mi Racho
644,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
658,Sibolga,ID,76.24,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
659,Santa Rosa,PH,84.02,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
666,San Patricio,US,87.19,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
671,Labuhan,ID,80.82,overcast clouds,-6.8844,112.2051,DoubleFAG
676,Tecoanapa,MX,83.34,few clouds,16.5167,-98.75,Hotel Manglares
677,Qui Nhon,VN,75.6,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
681,Jatiroto,ID,77.77,overcast clouds,-7.8833,111.1167,Mushola Al Huda
